epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5432,0.98041,1.27711,1.47185,0.50735,0.71027,0.56039,0.43554,1.30011,1.48523,1.69588,0.000144398,0.000144398,0.000144398
2,131.124,0.99401,1.27748,1.47745,0.51603,0.62517,0.54554,0.43305,1.31836,1.48538,1.72317,0.000287124,0.000287124,0.000287124
3,192.103,1.01058,1.31108,1.48872,0.55155,0.68016,0.55774,0.41993,1.32484,1.59783,1.71455,0.000427572,0.000427572,0.000427572
4,227.096,1.01447,1.32476,1.49467,0.50581,0.61478,0.56012,0.43441,1.3145,1.52044,1.71486,0.000424746,0.000424746,0.000424746
5,262.017,1.01282,1.31197,1.49233,0.43088,0.60733,0.51971,0.41397,1.34327,1.65065,1.739,0.000421329,0.000421329,0.000421329
6,297.144,1.01052,1.29727,1.48947,0.4862,0.62818,0.56941,0.44509,1.31638,1.43635,1.70614,0.000417911,0.000417911,0.000417911
7,332.192,0.99852,1.28765,1.48278,0.48727,0.61558,0.52541,0.43339,1.32271,1.63105,1.70614,0.000414493,0.000414493,0.000414493
8,367.361,1.0021,1.28677,1.48463,0.46773,0.65284,0.53039,0.43033,1.32271,1.55089,1.71724,0.000411075,0.000411075,0.000411075
9,402.534,0.99919,1.28111,1.48038,0.63449,0.60984,0.51869,0.40905,1.39247,1.78633,1.84007,0.000407657,0.000407657,0.000407657
10,437.733,0.99415,1.26531,1.4748,0.50614,0.60719,0.54868,0.42489,1.32064,1.51844,1.70632,0.000404239,0.000404239,0.000404239
11,473.691,0.99231,1.24411,1.47051,0.55278,0.62838,0.61305,0.46235,1.28146,1.35883,1.67466,0.000400821,0.000400821,0.000400821
12,508.868,0.99439,1.25461,1.47283,0.49735,0.61224,0.54763,0.42985,1.31363,1.51373,1.71003,0.000397404,0.000397404,0.000397404
13,545.334,0.97802,1.23235,1.46091,0.5243,0.70613,0.56297,0.42677,1.3115,1.62094,1.68991,0.000393986,0.000393986,0.000393986
14,581.652,0.97919,1.22053,1.46343,0.53077,0.60869,0.55157,0.41959,1.30536,1.51882,1.70939,0.000390568,0.000390568,0.000390568
15,617.617,0.97287,1.21253,1.45297,0.5542,0.66988,0.58748,0.43119,1.31377,1.58249,1.70956,0.00038715,0.00038715,0.00038715
16,653.926,0.9758,1.21142,1.45799,0.56197,0.66074,0.56308,0.41994,1.31058,1.54505,1.71718,0.000383732,0.000383732,0.000383732
17,689.888,0.97018,1.20421,1.45396,0.47333,0.65262,0.56969,0.43898,1.312,1.49176,1.69973,0.000380314,0.000380314,0.000380314
18,725.747,0.96159,1.19009,1.45022,0.5031,0.61136,0.53671,0.4233,1.34707,1.55872,1.74134,0.000376896,0.000376896,0.000376896
19,761.465,0.96778,1.17869,1.44886,0.52653,0.62165,0.55451,0.4372,1.29058,1.47574,1.68588,0.000373479,0.000373479,0.000373479
20,797.317,0.9549,1.16304,1.4419,0.49966,0.59179,0.5374,0.44143,1.31774,1.53751,1.71559,0.000370061,0.000370061,0.000370061
21,833.02,0.95957,1.16165,1.44306,0.57643,0.62069,0.61889,0.46361,1.26069,1.29261,1.67334,0.000366643,0.000366643,0.000366643
22,868.708,0.95525,1.14845,1.43815,0.55257,0.62067,0.59302,0.46326,1.28366,1.3758,1.68082,0.000363225,0.000363225,0.000363225
23,904.431,0.94885,1.1426,1.43155,0.51232,0.59764,0.54313,0.42988,1.31633,1.58556,1.712,0.000359807,0.000359807,0.000359807
24,940.127,0.94904,1.1534,1.43996,0.50491,0.61795,0.54428,0.43064,1.2904,1.49105,1.69976,0.000356389,0.000356389,0.000356389
25,975.694,0.95082,1.14191,1.43506,0.52128,0.60462,0.54985,0.43659,1.27705,1.46301,1.6837,0.000352971,0.000352971,0.000352971
26,1011.24,0.94156,1.12731,1.43073,0.45449,0.61194,0.49258,0.40066,1.36572,1.8318,1.78194,0.000349554,0.000349554,0.000349554
27,1046.74,0.93524,1.11676,1.42803,0.48619,0.61593,0.52017,0.41735,1.33982,1.63014,1.74924,0.000346136,0.000346136,0.000346136
28,1082.34,0.93599,1.11783,1.4299,0.52052,0.6445,0.54242,0.42578,1.29773,1.65934,1.70341,0.000342718,0.000342718,0.000342718
29,1117.81,0.94038,1.10648,1.42282,0.55612,0.61896,0.59924,0.46401,1.28217,1.36178,1.69364,0.0003393,0.0003393,0.0003393
30,1153.58,0.9441,1.11393,1.42634,0.47503,0.64942,0.52537,0.4183,1.31268,1.66282,1.71847,0.000335882,0.000335882,0.000335882
31,1189.25,0.93947,1.11796,1.42795,0.49636,0.60793,0.53637,0.42645,1.30849,1.601,1.71558,0.000332464,0.000332464,0.000332464
32,1224.85,0.94003,1.10366,1.42718,0.52017,0.60383,0.55285,0.4358,1.29481,1.53677,1.6974,0.000329046,0.000329046,0.000329046
33,1260.7,0.92918,1.09518,1.41869,0.53235,0.61002,0.57257,0.45259,1.29079,1.46275,1.68063,0.000325629,0.000325629,0.000325629
34,1296.55,0.93725,1.09911,1.42287,0.53873,0.59682,0.57134,0.45133,1.27207,1.43834,1.67582,0.000322211,0.000322211,0.000322211
35,1332.35,0.9298,1.08162,1.41804,0.53697,0.59962,0.57151,0.45046,1.27992,1.44653,1.6841,0.000318793,0.000318793,0.000318793
36,1368.36,0.93195,1.08348,1.41809,0.52413,0.5923,0.55099,0.43756,1.30728,1.54179,1.68221,0.000315375,0.000315375,0.000315375
37,1404.32,0.92847,1.08462,1.42083,0.56669,0.65782,0.58581,0.46106,1.28225,1.36689,1.67474,0.000311957,0.000311957,0.000311957
38,1440.81,0.94159,1.07726,1.42025,0.48019,0.59413,0.51003,0.39896,1.32139,1.69788,1.72344,0.000308539,0.000308539,0.000308539
39,1476.91,0.92505,1.07454,1.40959,0.53098,0.59407,0.56613,0.44534,1.28762,1.4954,1.67798,0.000305121,0.000305121,0.000305121
40,1512.61,0.91704,1.0551,1.40223,0.50583,0.601,0.54422,0.41505,1.32833,1.58648,1.71188,0.000301704,0.000301704,0.000301704
41,1548.37,0.91712,1.04828,1.40779,0.52259,0.59752,0.55441,0.44094,1.29426,1.47736,1.68387,0.000298286,0.000298286,0.000298286
42,1584.07,0.91794,1.0613,1.40828,0.48519,0.64107,0.51724,0.40388,1.38321,1.748,1.78286,0.000294868,0.000294868,0.000294868
43,1619.91,0.91909,1.0456,1.40455,0.53344,0.60029,0.58106,0.45838,1.29966,1.44844,1.693,0.00029145,0.00029145,0.00029145
44,1655.84,0.91201,1.04519,1.40271,0.50571,0.61453,0.54112,0.4295,1.30687,1.62114,1.71528,0.000288032,0.000288032,0.000288032
45,1691.85,0.91181,1.03117,1.39858,0.49342,0.6032,0.53962,0.43104,1.30146,1.64198,1.68485,0.000284614,0.000284614,0.000284614
46,1727.71,0.90521,1.02472,1.39434,0.49147,0.61944,0.54405,0.4318,1.33483,1.58368,1.73253,0.000281196,0.000281196,0.000281196
47,1763.4,0.90095,1.01894,1.39235,0.50652,0.60013,0.53909,0.429,1.33006,1.56659,1.72647,0.000277779,0.000277779,0.000277779
48,1799.07,0.90571,1.01571,1.39037,0.55368,0.60241,0.54135,0.43061,1.33992,1.64798,1.72383,0.000274361,0.000274361,0.000274361
49,1834.7,0.90516,1.01784,1.39376,0.53058,0.56549,0.53187,0.42122,1.37857,1.66979,1.79233,0.000270943,0.000270943,0.000270943
50,1870.3,0.89487,1.01371,1.39047,0.4915,0.57864,0.51311,0.4125,1.37961,1.81229,1.8017,0.000267525,0.000267525,0.000267525
51,1906.01,0.90408,1.01909,1.39227,0.50539,0.61079,0.53519,0.43042,1.30712,1.5504,1.71268,0.000264107,0.000264107,0.000264107
52,1941.76,0.89748,1.01568,1.39051,0.53395,0.59188,0.56726,0.44633,1.30323,1.52286,1.69269,0.000260689,0.000260689,0.000260689
53,1977.63,0.89633,1.00526,1.38719,0.63398,0.58365,0.53459,0.42731,1.33135,1.59872,1.75354,0.000257271,0.000257271,0.000257271
54,2013.66,0.89328,0.99984,1.38226,0.49689,0.60885,0.54701,0.43434,1.35085,1.65176,1.75164,0.000253854,0.000253854,0.000253854
55,2049.78,0.89647,0.99569,1.38251,0.51922,0.6414,0.54097,0.43024,1.31445,1.64965,1.73678,0.000250436,0.000250436,0.000250436
56,2085.73,0.88369,0.97206,1.37611,0.53659,0.58204,0.5606,0.44581,1.30904,1.53041,1.70672,0.000247018,0.000247018,0.000247018
57,2121.73,0.88562,0.98216,1.37618,0.51281,0.60023,0.54517,0.43363,1.32942,1.59458,1.71935,0.0002436,0.0002436,0.0002436
58,2157.71,0.88843,0.98102,1.38289,0.48351,0.62402,0.54545,0.43472,1.32011,1.62268,1.72587,0.000240182,0.000240182,0.000240182
59,2193.81,0.88151,0.96657,1.36595,0.53058,0.58471,0.55226,0.44147,1.31721,1.54917,1.71912,0.000236764,0.000236764,0.000236764
60,2230.11,0.88084,0.97024,1.36801,0.5112,0.57702,0.5373,0.42701,1.35983,1.65247,1.75147,0.000233346,0.000233346,0.000233346
61,2266.15,0.88075,0.96754,1.37565,0.52271,0.587,0.54202,0.43629,1.33502,1.65958,1.75112,0.000229929,0.000229929,0.000229929
62,2302.59,0.87458,0.9637,1.36902,0.50903,0.58818,0.52996,0.42913,1.35824,1.67075,1.77413,0.000226511,0.000226511,0.000226511
63,2338.96,0.88096,0.9605,1.36712,0.51903,0.60099,0.55488,0.44533,1.30658,1.58067,1.71813,0.000223093,0.000223093,0.000223093
64,2375.36,0.87582,0.95301,1.36568,0.51356,0.63984,0.54483,0.43563,1.32715,1.58292,1.71852,0.000219675,0.000219675,0.000219675
65,2411.51,0.87329,0.95062,1.36118,0.50413,0.63994,0.53386,0.4264,1.32858,1.71812,1.74327,0.000216257,0.000216257,0.000216257
66,2447.83,0.87343,0.94884,1.36584,0.53527,0.60273,0.56977,0.4528,1.30468,1.47418,1.71329,0.000212839,0.000212839,0.000212839
67,2484.36,0.87064,0.94984,1.36382,0.50902,0.6153,0.55601,0.44791,1.295,1.54485,1.70918,0.000209421,0.000209421,0.000209421
68,2520.75,0.86858,0.93527,1.36136,0.52633,0.57871,0.54745,0.43981,1.32382,1.60595,1.73476,0.000206004,0.000206004,0.000206004
69,2557.09,0.85964,0.92772,1.35497,0.4696,0.58427,0.50695,0.41177,1.37754,1.83222,1.79602,0.000202586,0.000202586,0.000202586
70,2593.61,0.86863,0.9292,1.35936,0.52874,0.6056,0.58272,0.45488,1.29921,1.4657,1.69859,0.000199168,0.000199168,0.000199168
71,2630.04,0.85922,0.92936,1.35639,0.54764,0.61158,0.55177,0.43449,1.33782,1.6555,1.73534,0.00019575,0.00019575,0.00019575
72,2666.51,0.86908,0.92493,1.35793,0.54459,0.64123,0.57264,0.44802,1.2912,1.52723,1.69343,0.000192332,0.000192332,0.000192332
73,2702.91,0.85489,0.91362,1.34925,0.52255,0.64636,0.56172,0.44111,1.31792,1.58475,1.72192,0.000188914,0.000188914,0.000188914
74,2739.34,0.85532,0.90585,1.34606,0.66511,0.58256,0.5657,0.44946,1.30752,1.53644,1.72197,0.000185496,0.000185496,0.000185496
